Date,PM2.5,PM10,NO2,CO,SO2,O3,tavg,rh,wspd,AQI
2017-05-19,139.1,329.12,58.93,0.71,41.31,45.33,32.3,0.5,5.719522471910112,294.0
2017-05-20,233.82,352.76,59.74,0.9,36.26,46.67,34.0,0.0,5.719522471910112,334.0
2017-05-21,178.44,505.07,52.38,0.88,40.4,49.89,31.2,6.313373253493014,5.719522471910112,505.0
2017-05-22,110.1,386.67,63.7,0.99,35.36,40.92,27.1,6.313373253493014,5.719522471910112,349.0
2017-05-23,118.43,326.02,84.21,0.89,37.55,39.59,33.4,6.313373253493014,5.719522471910112,421.0
2017-05-24,107.37,252.35,80.72,0.47,42.21,39.1,35.4,6.313373253493014,5.719522471910112,238.0
2017-05-25,113.9,222.88,65.71,0.56,41.43,30.8,36.4,6.313373253493014,5.719522471910112,204.0
2017-05-26,103.75,301.57,79.07,0.65,41.4,53.9,37.8,6.313373253493014,5.719522471910112,289.0
2017-05-27,69.88,317.07,50.12,0.53,38.55,53.22,35.3,6.313373253493014,5.719522471910112,236.0
2017-05-28,40.33,150.34,45.6,0.49,31.5,57.01,31.8,11.9,5.719522471910112,148.0
2017-05-29,48.95,150.23,55.2,0.54,26.99,49.0,28.8,7.9,5.719522471910112,94.0
2017-05-30,63.27,174.62,64.11,0.5,26.15,54.23,32.4,0.0,5.719522471910112,130.0
2017-05-31,56.38,137.62,69.98,0.83,21.94,50.95,29.4,6.313373253493014,5.719522471910112,123.0
2017-06-01,95.23,257.16,97.33,1.08,23.0,65.67,32.9,6.313373253493014,5.719522471910112,192.0
2017-06-02,123.44,354.35,131.55,1.08,24.75,45.77,34.9,6.313373253493014,5.719522471910112,324.0
2017-06-03,122.2,362.94,119.37,1.1,23.23,42.56,37.3,6.313373253493014,5.719522471910112,357.0
2017-06-04,121.1,436.35,92.68,0.72,22.69,29.97,39.8,6.313373253493014,5.719522471910112,393.0
2017-06-05,71.89,320.91,64.07,0.56,18.63,20.67,39.6,6.313373253493014,5.719522471910112,302.0
2017-06-06,80.37,348.79,57.63,0.56,16.51,26.41,37.9,6.313373253493014,5.719522471910112,239.0
2017-06-07,40.87,233.62,70.77,0.29,23.51,39.61,31.7,0.0,5.719522471910112,210.0
2017-06-08,41.83,232.8092287784679,79.9,0.0,15.901253291205895,51.32361038961039,30.3,0.0,5.719522471910112,77.0
2017-06-09,66.73,295.56,76.52,0.0,15.901253291205895,51.32361038961039,32.9,5.1,5.719522471910112,89.0
2017-06-10,64.63,232.8092287784679,80.04,0.0,15.901253291205895,51.32361038961039,33.9,0.0,5.719522471910112,143.0
2017-06-11,43.02,232.8092287784679,77.07,0.0,15.901253291205895,51.32361038961039,32.7,6.313373253493014,5.719522471910112,80.0
2017-06-12,57.4,166.25,106.23,0.0,15.901253291205895,51.32361038961039,33.8,6.313373253493014,5.719522471910112,92.0
2017-06-13,48.6,244.14,96.64,0.0,15.901253291205895,51.32361038961039,36.6,6.313373253493014,5.719522471910112,112.0
2017-06-14,62.0,310.73,86.9,0.0,15.901253291205895,51.32361038961039,36.1,6.313373253493014,5.719522471910112,117.0
2017-06-15,80.14,205.5,139.09,0.0,15.901253291205895,51.32361038961039,34.7,6.313373253493014,5.719522471910112,101.0
2017-06-16,51.6,124.35,80.43,0.0,15.901253291205895,51.32361038961039,28.3,18.0,5.719522471910112,106.0
2017-06-17,41.96,87.16,70.93,0.0,15.901253291205895,51.32361038961039,29.0,4.1,5.719522471910112,88.0
2017-06-18,65.19,218.93,56.65,0.0,15.901253291205895,51.32361038961039,32.0,0.0,5.719522471910112,94.0
2017-06-19,60.9,228.2,36.63,0.0,15.901253291205895,51.32361038961039,30.1,17.0,5.719522471910112,150.0
2017-06-20,35.1,88.82,99.75,0.0,15.901253291205895,51.32361038961039,27.6,23.9,5.719522471910112,97.0
2017-06-21,58.27,87.74,63.2,0.0,15.901253291205895,51.32361038961039,27.7,20.1,5.719522471910112,109.0
2017-06-22,61.93,124.6,36.35,0.0,15.901253291205895,51.32361038961039,29.4,18.0,5.719522471910112,124.0
2017-06-23,44.08,160.22,103.29,0.0,15.901253291205895,51.32361038961039,32.4,3.0,5.719522471910112,259.48774387193595
2017-06-24,63.62,245.23,83.84,0.0,15.901253291205895,51.32361038961039,34.0,0.0,5.719522471910112,111.0
2017-06-25,76.1,325.29,71.42,0.0,15.901253291205895,51.32361038961039,35.6,6.313373253493014,5.719522471910112,148.0
2017-06-26,51.52,359.19,53.97,0.0,15.901253291205895,51.32361038961039,35.1,6.313373253493014,5.719522471910112,108.0
2017-06-27,36.62,286.38,54.02,0.0,15.901253291205895,51.32361038961039,35.6,6.313373253493014,5.719522471910112,73.0
2017-06-28,29.83,128.18,58.02,0.0,15.901253291205895,51.32361038961039,28.6,6.313373253493014,5.719522471910112,58.0
2017-06-29,22.98,103.8,35.01,0.0,15.901253291205895,51.32361038961039,28.5,53.1,5.719522471910112,58.0
2017-06-30,25.83,90.41,32.97,0.0,15.901253291205895,51.32361038961039,27.9,17.0,5.719522471910112,46.0
2017-07-01,43.35,224.62,17.4,0.0,15.901253291205895,51.32361038961039,30.3,16.0,5.719522471910112,84.0
2017-07-02,20.52,223.56,11.37,0.0,15.901253291205895,51.32361038961039,28.1,20.1,5.719522471910112,54.0
2017-07-03,46.71,246.98,20.06,0.0,15.901253291205895,51.32361038961039,32.0,4.1,5.719522471910112,49.0
2017-07-04,116.12,232.8092287784679,19.37,0.0,15.901253291205895,51.32361038961039,33.2,0.0,5.719522471910112,149.0
2017-07-05,50.81,232.8092287784679,14.86,0.0,15.901253291205895,51.32361038961039,32.9,1.0,5.719522471910112,212.0
2017-07-06,47.17,232.8092287784679,18.32,0.0,15.901253291205895,51.32361038961039,31.2,0.0,5.719522471910112,85.0
2017-07-07,41.42,232.8092287784679,18.21,0.0,15.901253291205895,51.32361038961039,31.3,18.0,5.719522471910112,77.0
2017-07-08,45.31,232.8092287784679,23.52,0.0,15.901253291205895,51.32361038961039,32.3,0.0,5.719522471910112,65.0
2017-07-09,58.46,232.8092287784679,21.16,0.0,15.901253291205895,51.32361038961039,34.4,6.313373253493014,5.719522471910112,108.0
2017-07-10,41.92,232.8092287784679,18.81,0.0,15.901253291205895,51.32361038961039,34.6,6.313373253493014,5.719522471910112,78.0
2017-07-11,33.04,232.8092287784679,21.44,0.0,15.901253291205895,51.32361038961039,30.2,0.3,5.719522471910112,59.0
2017-07-12,22.35,232.8092287784679,19.98,0.0,15.901253291205895,51.32361038961039,29.7,24.9,5.719522471910112,47.0
2017-07-13,22.44,232.8092287784679,21.59,0.0,15.901253291205895,51.32361038961039,31.1,0.0,5.719522471910112,39.0
2017-07-14,30.35,232.8092287784679,38.36,0.0,15.901253291205895,51.32361038961039,33.2,6.313373253493014,5.719522471910112,40.0
2017-07-15,32.02,232.8092287784679,77.47,0.0,15.901253291205895,51.32361038961039,31.6,0.0,5.719522471910112,56.0
2017-07-16,38.77,232.8092287784679,76.98,0.0,15.901253291205895,51.32361038961039,32.4,5.1,5.719522471910112,65.0
2017-07-17,33.56,232.8092287784679,86.61,0.0,15.901253291205895,51.32361038961039,29.6,0.0,5.719522471910112,71.0
2017-07-18,37.67,232.8092287784679,126.91,0.0,15.901253291205895,51.32361038961039,32.8,22.1,5.719522471910112,97.0
2017-07-19,55.96,232.8092287784679,137.15,0.0,15.901253291205895,51.32361038961039,34.1,0.0,5.719522471910112,118.0
2017-07-20,28.88,232.8092287784679,61.54,0.0,15.901253291205895,51.32361038961039,29.2,25.9,5.719522471910112,116.0
2017-07-21,23.12,232.8092287784679,23.67,0.0,15.901253291205895,51.32361038961039,32.5,3.0,5.719522471910112,53.0
2017-07-22,18.54,232.8092287784679,19.9,0.0,15.901253291205895,51.32361038961039,30.7,0.0,5.719522471910112,30.0
2017-07-23,22.65,232.8092287784679,18.22,0.0,15.901253291205895,51.32361038961039,30.1,8.9,5.719522471910112,37.0
2017-07-24,17.52,232.8092287784679,19.95,0.0,15.901253291205895,51.32361038961039,30.1,15.0,5.719522471910112,35.0
2017-07-25,22.17,232.8092287784679,18.1,0.0,15.901253291205895,51.32361038961039,29.6,3.0,5.719522471910112,37.0
2017-07-26,20.17,232.8092287784679,21.95,0.0,15.901253291205895,51.32361038961039,31.6,3.0,5.719522471910112,32.0
2017-07-27,24.42,232.8092287784679,25.33,0.0,15.901253291205895,51.32361038961039,32.2,0.0,5.719522471910112,41.0
2017-07-28,25.71,232.8092287784679,24.07,0.0,15.901253291205895,51.32361038961039,32.2,6.313373253493014,5.719522471910112,42.0
2017-07-29,27.25,232.8092287784679,22.87,0.0,15.901253291205895,51.32361038961039,31.8,6.313373253493014,5.719522471910112,47.0
2017-07-30,10.88,232.8092287784679,20.58,0.0,15.901253291205895,51.32361038961039,30.9,6.313373253493014,5.719522471910112,30.0
2017-07-31,17.1,232.8092287784679,26.19,0.0,15.901253291205895,51.32361038961039,28.3,1.0,5.719522471910112,29.0
2017-08-01,17.24,232.8092287784679,23.4,0.0,15.901253291205895,51.32361038961039,28.8,0.0,5.719522471910112,44.0
2017-08-02,27.56,232.8092287784679,26.54,0.0,15.901253291205895,51.32361038961039,29.8,0.3,5.719522471910112,40.0
2017-08-03,27.29,232.8092287784679,29.16,0.0,15.901253291205895,51.32361038961039,31.2,0.0,5.719522471910112,49.0
2017-08-04,42.65,232.8092287784679,33.74,0.0,15.901253291205895,51.32361038961039,31.3,6.313373253493014,5.719522471910112,50.0
2017-08-05,53.69,232.8092287784679,42.98,0.0,15.901253291205895,51.32361038961039,31.6,6.313373253493014,5.719522471910112,88.0
2017-08-06,61.44,232.8092287784679,41.75,0.0,15.901253291205895,51.32361038961039,32.6,6.313373253493014,5.719522471910112,99.0
2017-08-07,57.42,232.8092287784679,32.2,0.0,15.901253291205895,51.32361038961039,29.8,6.313373253493014,5.719522471910112,110.0
2017-08-08,36.58,232.8092287784679,29.91,0.0,15.901253291205895,51.32361038961039,31.7,6.313373253493014,5.719522471910112,68.0
2017-08-09,50.42,232.8092287784679,48.7,0.0,15.901253291205895,51.32361038961039,29.2,6.313373253493014,5.719522471910112,73.0
2017-08-10,48.6,232.8092287784679,64.0,0.0,15.901253291205895,51.32361038961039,31.3,6.313373253493014,5.719522471910112,95.0
2017-08-11,21.83,232.8092287784679,35.39,0.0,15.901253291205895,51.32361038961039,32.5,6.313373253493014,5.719522471910112,58.0
2017-08-12,117.19615346287992,232.8092287784679,50.785181863477824,0.0,15.901253291205895,51.32361038961039,31.9,6.313373253493014,5.719522471910112,45.0
2017-08-13,117.19615346287992,232.8092287784679,50.785181863477824,0.0,15.901253291205895,51.32361038961039,31.3,6.313373253493014,5.719522471910112,259.48774387193595
2017-08-14,26.54,232.8092287784679,88.07,0.0,15.901253291205895,51.32361038961039,31.6,6.313373253493014,5.719522471910112,259.48774387193595
2017-08-15,30.12,232.8092287784679,49.91,0.0,15.901253291205895,51.32361038961039,32.6,6.313373253493014,5.719522471910112,59.0
2017-08-16,35.23,232.8092287784679,64.66,0.0,15.901253291205895,51.32361038961039,32.6,6.313373253493014,5.719522471910112,53.0
2017-08-17,39.6,232.8092287784679,68.78,0.0,15.901253291205895,51.32361038961039,33.5,6.313373253493014,5.719522471910112,66.0
2017-08-18,46.25,232.8092287784679,60.15,0.0,15.901253291205895,51.32361038961039,33.7,6.313373253493014,5.719522471910112,70.0
2017-08-19,35.48,232.8092287784679,39.67,0.0,15.901253291205895,51.32361038961039,27.9,23.1,5.719522471910112,70.0
2017-08-20,22.15,232.8092287784679,30.28,0.0,15.901253291205895,51.32361038961039,32.0,3.0,5.719522471910112,63.0
2017-08-21,25.5,232.8092287784679,24.42,0.0,15.901253291205895,51.32361038961039,32.1,0.0,5.719522471910112,42.0
2017-08-22,46.0,232.8092287784679,38.7,0.0,15.901253291205895,51.32361038961039,31.5,6.313373253493014,5.719522471910112,259.48774387193595
2017-08-23,36.54,232.8092287784679,43.43,0.0,15.901253291205895,51.32361038961039,29.4,6.313373253493014,5.719522471910112,259.48774387193595
2017-08-24,47.79,232.8092287784679,45.26,0.0,15.901253291205895,51.32361038961039,30.4,6.313373253493014,5.719522471910112,58.0
2017-08-25,51.33,232.8092287784679,39.3,0.0,15.901253291205895,51.32361038961039,31.1,6.313373253493014,5.719522471910112,104.0
2017-08-26,62.33,232.8092287784679,37.65,0.0,15.901253291205895,51.32361038961039,29.1,6.313373253493014,5.719522471910112,259.48774387193595
2017-08-27,34.3,232.8092287784679,34.06,0.0,15.901253291205895,51.32361038961039,31.0,6.313373253493014,5.719522471910112,259.48774387193595
2017-08-28,23.82,232.8092287784679,27.89,0.0,2.34,13.61,30.6,6.313373253493014,5.719522471910112,259.48774387193595
2017-08-29,15.23,232.8092287784679,69.8,0.0,15.901253291205895,51.32361038961039,30.9,6.313373253493014,5.719522471910112,259.48774387193595
2017-08-30,20.5,232.8092287784679,101.89,0.0,15.901253291205895,51.32361038961039,31.3,6.313373253493014,5.719522471910112,73.0
2017-08-31,41.62,60.15,50.7,0.76,15.901253291205895,27.78,28.2,4.1,5.719522471910112,94.0
2017-09-01,25.58,41.64,26.64,0.54,15.901253291205895,24.03,28.5,68.1,5.719522471910112,91.0
2017-09-02,20.06,45.86,26.09,0.48,15.901253291205895,25.0,28.2,5.1,5.719522471910112,88.0
2017-09-03,38.19,79.78,27.32,0.4,15.901253291205895,25.07,30.7,1.0,5.719522471910112,88.0
2017-09-04,47.89,84.29,25.85,0.36,15.901253291205895,24.93,31.5,0.0,5.719522471910112,89.0
2017-09-05,35.61,75.82,30.29,0.37,15.901253291205895,25.08,31.1,6.313373253493014,5.719522471910112,88.0
2017-09-06,39.41,85.23,35.92,0.33,15.901253291205895,24.95,31.6,0.0,5.719522471910112,88.0
2017-09-07,40.34,67.06,23.75,0.36,15.901253291205895,24.93,28.9,7.1,5.719522471910112,88.0
2017-09-08,51.7,101.89,16.52,0.49,15.901253291205895,25.88,31.2,0.0,5.719522471910112,106.0
2017-09-09,54.83,111.65,17.54,0.45,15.901253291205895,25.77,31.6,6.313373253493014,5.719522471910112,96.0
2017-09-10,60.46,119.5,19.76,0.48,15.901253291205895,26.39,32.4,6.313373253493014,5.719522471910112,118.0
2017-09-11,63.97,120.06,20.25,0.45,15.901253291205895,27.92,31.9,6.313373253493014,5.719522471910112,119.0
2017-09-12,46.65,103.84,16.56,0.42,15.901253291205895,24.84,31.6,6.313373253493014,5.719522471910112,106.0
2017-09-13,54.77,143.16,10.76,0.13,15.901253291205895,24.38,32.2,6.313373253493014,5.719522471910112,115.0
2017-09-14,80.47,186.11,31.88,0.12,15.901253291205895,26.98,32.1,6.313373253493014,5.719522471910112,142.0
2017-09-15,64.37,127.68,34.75,0.36,15.901253291205895,27.32,32.7,6.313373253493014,5.719522471910112,169.0
2017-09-16,51.56,82.26,36.6,0.44,15.901253291205895,26.7,29.5,6.313373253493014,5.719522471910112,110.0
2017-09-17,53.05,85.65,37.33,0.33,15.901253291205895,26.7,30.7,6.313373253493014,5.719522471910112,106.0
2017-09-18,60.83,102.29,56.67,0.21,15.901253291205895,30.08,31.2,6.313373253493014,5.719522471910112,99.0
2017-09-19,55.55,112.21,34.72,0.43,15.901253291205895,28.73,31.6,6.313373253493014,5.719522471910112,109.0
2017-09-20,70.81,111.9,21.49,0.44,15.901253291205895,31.95,31.6,6.313373253493014,5.719522471910112,137.0
2017-09-21,55.93,76.81,22.74,0.46,15.901253291205895,23.1,30.7,6.313373253493014,5.719522471910112,144.0
2017-09-22,11.81,18.59,22.4,0.32,15.901253291205895,24.88,26.2,6.313373253493014,5.719522471910112,92.0
2017-09-23,17.76,43.57,18.63,0.35,15.901253291205895,22.19,24.7,6.313373253493014,5.719522471910112,83.0
2017-09-24,35.5,81.42,17.01,0.37,15.901253291205895,22.63,27.1,6.313373253493014,5.719522471910112,84.0
2017-09-25,50.09,100.02,27.25,0.37,15.901253291205895,24.48,30.2,6.313373253493014,5.719522471910112,104.0
2017-09-26,66.12,114.15,27.52,0.6,7.13,30.45,30.4,6.313373253493014,5.719522471910112,131.0
2017-09-27,80.94,125.39,21.39,0.61,6.62,29.26,30.8,6.313373253493014,5.719522471910112,165.0
2017-09-28,75.4,102.91,38.55,0.43,6.08,34.06,31.2,6.313373253493014,5.719522471910112,176.0
2017-09-29,89.38,140.94,29.45,0.45,7.17,40.26,30.7,6.313373253493014,5.719522471910112,172.0
2017-09-30,74.2,125.73,26.08,0.3,6.64,38.44,30.2,6.313373253493014,5.719522471910112,137.0
2017-10-01,68.47,120.56,28.66,0.46,3.46,32.9,28.8,6.313373253493014,5.719522471910112,131.0
2017-10-02,63.41,128.15,25.2,0.43,2.94,30.1,29.9,6.313373253493014,5.719522471910112,132.0
2017-10-03,69.45,127.48,26.09,0.2,5.81,34.34,30.5,6.313373253493014,5.719522471910112,115.0
2017-10-04,76.81,138.81,28.99,0.19,11.7,35.79,29.8,6.313373253493014,5.719522471910112,151.0
2017-10-05,75.73,125.31,24.45,0.27,11.96,36.81,30.0,6.313373253493014,5.719522471910112,180.0
2017-10-06,79.81,111.43,27.44,0.33,13.91,38.67,30.1,6.313373253493014,5.719522471910112,183.0
2017-10-07,70.98,151.15,25.61,0.32,22.29,34.44,29.6,6.313373253493014,5.719522471910112,193.0
2017-10-08,102.2,155.03,24.51,0.24,24.0,35.32,28.9,6.313373253493014,5.719522471910112,224.0
2017-10-09,107.63,173.87,27.06,0.24,23.51,31.11,29.6,6.313373253493014,5.719522471910112,268.0
2017-10-10,105.88,158.68,31.67,0.26,7.6,30.89,29.3,6.313373253493014,5.719522471910112,253.0
2017-10-11,104.45,122.3,30.92,0.25,6.57,29.67,29.6,6.313373253493014,5.719522471910112,208.0
2017-10-12,106.85,186.91,31.1,0.33,7.65,35.14,29.1,6.313373253493014,5.719522471910112,211.0
2017-10-13,137.42,207.87,29.16,0.33,9.36,37.98,29.0,6.313373253493014,5.719522471910112,246.0
2017-10-14,147.07,208.87,30.14,0.37,14.64,42.39,28.8,6.313373253493014,5.719522471910112,319.0
2017-10-15,147.83,195.47,30.0,0.33,14.31,37.15,28.2,6.313373253493014,5.719522471910112,317.0
2017-10-16,152.61,213.98,58.53,1.02,23.09,30.49,27.2,6.313373253493014,5.719522471910112,310.0
2017-10-17,121.7,212.35,57.08,1.36,17.44,30.46,26.6,6.313373253493014,5.719522471910112,313.0
2017-10-18,152.16,204.03,63.15,1.05,27.42,35.86,27.4,6.313373253493014,5.719522471910112,310.0
2017-10-19,176.17,259.0,53.51,1.18,22.15,36.35,28.5,6.313373253493014,5.719522471910112,336.0
2017-10-20,426.52,387.13,54.76,1.06,36.85,41.14,27.8,6.313373253493014,5.719522471910112,497.0
2017-10-21,213.12,317.52,50.13,1.46,20.55,34.52,25.9,6.313373253493014,5.719522471910112,404.0
2017-10-22,146.01,201.91,55.88,0.93,24.42,34.88,27.7,6.313373253493014,5.719522471910112,338.0
2017-10-23,163.35,242.73,64.25,1.45,27.79,52.91,27.8,6.313373253493014,5.719522471910112,327.0
2017-10-24,188.24,331.64,81.33,1.51,23.19,86.13,24.3,6.313373253493014,5.719522471910112,366.0
2017-10-25,203.03,326.46,80.62,1.01,23.77,106.16,23.8,6.313373253493014,5.719522471910112,357.0
2017-10-26,178.91,290.41,90.56,1.15,24.12,99.71,23.8,6.313373253493014,5.719522471910112,328.0
2017-10-27,167.54,293.68,65.44,0.98,21.24,82.93,23.8,6.313373253493014,5.719522471910112,345.0
2017-10-28,198.37,329.05,84.45,0.9,27.88,110.71,23.3,6.313373253493014,5.719522471910112,379.0
2017-10-29,187.82,300.92,60.61,1.16,25.08,83.99,22.9,6.313373253493014,5.719522471910112,362.0
2017-10-30,196.37,308.22,69.51,1.47,23.68,88.38,22.5,6.313373253493014,5.719522471910112,340.0
2017-10-31,211.64,323.45,53.08,1.84,19.36,65.34,22.6,6.313373253493014,5.719522471910112,366.0
2017-11-01,179.17,265.9,46.83,1.13,16.01,56.79,23.5,6.313373253493014,5.719522471910112,344.0
2017-11-02,160.69,227.41,47.7,1.4,17.19,61.91,23.3,6.313373253493014,5.719522471910112,305.0
2017-11-03,168.16,239.73,46.49,1.31,15.29,62.16,22.7,6.313373253493014,5.719522471910112,310.0
2017-11-04,190.33,292.7,47.28,1.83,18.87,73.16,22.7,6.313373253493014,5.719522471910112,345.0
2017-11-05,209.61,334.64,60.56,2.33,19.55,86.74,22.6,6.313373253493014,5.719522471910112,370.0
2017-11-06,216.53,330.27,57.27,1.94,18.74,72.82,22.1,6.313373253493014,5.719522471910112,377.0
2017-11-07,517.93,654.68,65.17,2.37,15.29,56.06,21.1,6.313373253493014,5.719522471910112,532.0
2017-11-08,639.19,796.88,77.51,2.74,20.46,55.51,19.7,6.313373253493014,5.719522471910112,675.0
2017-11-09,495.9,652.21,81.67,2.37,15.68,86.62,20.1,6.313373253493014,5.719522471910112,677.0
2017-11-10,370.73,496.48,80.73,2.45,17.84,104.94,19.9,6.313373253493014,5.719522471910112,597.0
2017-11-11,363.77,511.44,78.61,2.32,17.8,95.54,19.8,6.313373253493014,5.719522471910112,471.0
2017-11-12,465.08,622.4,70.1,2.44,13.94,88.03,19.0,6.313373253493014,5.719522471910112,613.0
2017-11-13,354.56,498.63,65.77,2.33,15.58,94.42,19.3,6.313373253493014,5.719522471910112,561.0
2017-11-14,254.36,365.91,56.46,1.74,13.67,69.5,20.1,6.313373253493014,5.719522471910112,444.0
2017-11-15,192.04,279.26,57.85,1.64,19.24,60.28,18.8,6.313373253493014,5.719522471910112,378.0
2017-11-16,191.57,278.95,53.86,1.55,22.89,62.01,17.5,6.313373253493014,5.719522471910112,357.0
2017-11-17,150.79,220.08,47.38,1.51,16.32,47.92,19.8,6.313373253493014,5.719522471910112,330.0
2017-11-18,143.51,202.59,43.91,1.16,13.3,37.68,20.4,1.0,5.719522471910112,309.0
2017-11-19,128.65,190.51,45.6,1.2,15.12,47.8,18.1,0.0,5.719522471910112,297.0
2017-11-20,171.34,249.28,52.73,1.3,13.7,54.08,15.9,6.313373253493014,5.719522471910112,329.0
2017-11-21,178.08,253.38,54.75,1.52,15.02,57.13,16.0,6.313373253493014,5.719522471910112,341.0
2017-11-22,177.41,258.11,54.64,1.51,18.13,57.6,16.3,6.313373253493014,5.719522471910112,348.0
2017-11-23,175.56,251.23,55.04,1.55,18.32,54.34,15.8,6.313373253493014,5.719522471910112,340.0
2017-11-24,187.97,256.92,64.15,1.65,19.2,54.02,17.1,6.313373253493014,5.719522471910112,348.0
2017-11-25,185.31,268.09,76.48,1.74,17.95,48.1,16.9,6.313373253493014,5.719522471910112,347.0
2017-11-26,224.37,338.82,67.6,1.97,21.01,44.82,16.9,6.313373253493014,5.719522471910112,368.0
2017-11-27,198.34,328.09,68.93,1.64,18.95,41.09,16.2,6.313373253493014,5.719522471910112,382.0
2017-11-28,167.74,290.47,62.53,1.76,19.39,34.78,15.2,6.313373253493014,5.719522471910112,360.0
2017-11-29,215.17,327.64,75.37,2.31,20.1,40.91,17.2,6.313373253493014,5.719522471910112,359.0
2017-11-30,219.84,344.17,57.73,2.11,16.83,44.4,16.7,6.313373253493014,5.719522471910112,388.0
2017-12-01,190.45,309.07,56.83,1.83,17.59,31.62,15.7,6.313373253493014,5.719522471910112,377.0
2017-12-02,208.87,324.46,65.66,2.1,20.17,36.62,15.2,6.313373253493014,5.719522471910112,356.0
2017-12-03,240.87,359.22,65.83,2.28,19.92,37.61,15.1,6.313373253493014,5.719522471910112,384.0
2017-12-04,261.82,390.1,65.49,2.49,20.17,32.64,16.1,6.313373253493014,5.719522471910112,415.0
2017-12-05,230.56,358.86,64.61,2.41,18.29,50.69,18.5,6.313373253493014,5.719522471910112,404.0
2017-12-06,120.91,210.21,51.02,1.65,20.88,43.68,18.0,6.313373253493014,5.719522471910112,330.0
2017-12-07,88.95,170.12,45.83,1.49,18.17,41.43,17.4,0.0,5.719522471910112,215.0
2017-12-08,115.08,204.38,53.85,1.56,21.69,50.26,16.6,0.0,5.719522471910112,220.0
2017-12-09,165.76,268.35,70.14,1.77,24.22,68.58,16.0,6.313373253493014,5.719522471910112,312.0
2017-12-10,230.34,341.87,83.94,2.18,25.97,90.07,15.7,6.313373253493014,5.719522471910112,389.0
2017-12-11,218.87,338.45,71.25,2.28,24.39,66.07,16.6,6.313373253493014,5.719522471910112,406.0
2017-12-12,109.18,152.76,45.94,1.51,11.71,38.75,17.2,7.9,5.719522471910112,280.0
2017-12-13,134.99,203.48,40.27,1.34,10.81,46.28,15.7,0.0,5.719522471910112,263.0
2017-12-14,126.67,189.9,36.59,1.31,11.18,42.19,13.6,6.313373253493014,5.719522471910112,276.0
2017-12-15,127.57,194.15,34.73,1.28,9.69,38.04,12.7,6.313373253493014,5.719522471910112,292.0
2017-12-16,100.72,152.72,29.84,1.06,4.98,23.98,13.2,6.313373253493014,5.719522471910112,228.0
2017-12-17,95.58,163.65,37.37,1.2,12.68,36.4,14.7,6.313373253493014,5.719522471910112,195.0
2017-12-18,115.19,189.64,45.8,1.28,16.97,45.37,15.9,6.313373253493014,5.719522471910112,223.0
2017-12-19,168.33,257.19,54.84,1.48,23.03,49.68,15.2,6.313373253493014,5.719522471910112,291.0
2017-12-20,283.24,410.74,66.41,1.91,25.0,67.35,16.4,6.313373253493014,5.719522471910112,378.0
2017-12-21,293.14,435.23,61.63,1.45,22.54,66.06,17.4,6.313373253493014,5.719522471910112,467.0
2017-12-22,157.72,241.38,50.73,1.17,20.47,48.84,17.9,6.313373253493014,5.719522471910112,370.0
2017-12-23,117.72,181.59,50.97,1.54,19.95,43.85,16.1,6.313373253493014,5.719522471910112,253.0
2017-12-24,203.18,301.71,66.65,1.74,23.73,59.85,15.6,6.313373253493014,5.719522471910112,309.0
2017-12-25,259.0,368.35,58.92,1.68,23.76,56.1,13.6,6.313373253493014,5.719522471910112,398.0
2017-12-26,224.42,326.11,57.6,1.57,22.1,38.93,14.4,6.313373253493014,5.719522471910112,372.0
2017-12-27,224.27,317.87,65.61,1.69,23.17,58.98,15.1,6.313373253493014,5.719522471910112,379.0
2017-12-28,249.17,362.39,70.25,1.86,25.51,66.0,15.1,6.313373253493014,5.719522471910112,398.0
2017-12-29,227.28,347.63,59.7,1.7,25.54,61.36,15.3,6.313373253493014,5.719522471910112,399.0
2017-12-30,273.56,401.15,60.4,1.96,21.01,61.73,13.9,6.313373253493014,5.719522471910112,421.0
2017-12-31,306.17,445.58,66.97,1.95,17.97,76.45,12.9,6.313373253493014,5.719522471910112,451.0
2018-01-01,303.41,415.09,63.92,1.8,18.58,68.75,12.2,6.313373253493014,5.719522471910112,462.0
2018-01-02,277.48,422.59,53.73,1.52,12.43,68.68,11.8,6.313373253493014,5.719522471910112,439.0
2018-01-03,217.01,336.87,52.24,1.29,10.28,54.94,11.2,6.313373253493014,5.719522471910112,405.0
2018-01-04,248.54,377.61,61.57,1.36,14.42,66.31,12.2,6.313373253493014,5.719522471910112,394.0
2018-01-05,240.42,360.99,54.8,1.38,13.2,48.57,11.6,6.313373253493014,5.719522471910112,398.0
2018-01-06,252.57,378.9,59.12,1.59,18.15,39.65,11.4,6.313373253493014,5.719522471910112,403.0
2018-01-07,191.66,292.74,47.02,1.3,16.27,57.39,13.2,6.313373253493014,5.719522471910112,384.0
2018-01-08,152.98,259.13,51.6,1.33,17.15,54.55,12.1,6.313373253493014,5.719522471910112,314.0
2018-01-09,233.1,355.21,66.19,1.54,21.82,66.79,12.2,6.313373253493014,5.719522471910112,373.0
2018-01-10,186.26,294.24,60.21,1.4,18.98,58.51,14.7,6.313373253493014,5.719522471910112,366.0
2018-01-11,154.64,243.95,63.57,1.47,17.4,56.22,14.4,6.313373253493014,5.719522471910112,318.0
2018-01-12,168.87,281.06,65.3,1.56,24.03,62.37,14.6,6.313373253493014,5.719522471910112,306.0
